,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140838.png,eggplant,2.98087369e-15,1,3.53524288e-17
1,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_110750.png,tomato,2.09244644e-09,2.5086091e-09,1]]
2,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_105723.png,tomato,1.2579745e-09,9.76856165e-11,1
3,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133212.png,broccoli,1,2.06007737e-12,3.96092156e-14]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113726.png,tomato,1.88488157e-12,1.37236316e-11,1
5,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140840.png,eggplant,2.76115186e-15,1,8.7880105e-17]]
6,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141238.png,eggplant,2.45298981e-09,1,4.70358778e-13
7,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140154.png,broccoli,1,9.8370305e-11,6.60336586e-14]]
8,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140355.png,broccoli,1,4.96758856e-10,4.51219661e-12
9,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141044.png,eggplant,3.00580746e-18,1,1.23140349e-19]]
10,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_140604.png,eggplant,8.87364223e-17,1,9.98737127e-18
11,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140157.png,broccoli,1,6.2796171e-11,5.60716533e-14]]
12,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141042.png,eggplant,2.66192118e-18,1,1.80386107e-19
13,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140155.png,broccoli,1,8.03461811e-11,5.1922232e-14]]
14,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133456.png,broccoli,1,6.42673374e-14,1.0723273e-16
15,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141240.png,eggplant,1.55780611e-09,1,3.169703e-13]]
16,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_093159.png,tomato,6.14075353e-18,2.59946852e-15,1
17,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_140201.png,broccoli,1,1.22738528e-10,7.57731145e-14]]
18,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133211.png,broccoli,1,3.57669233e-12,5.05634624e-14
19,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/eggplant/20180806_141241.png,eggplant,3.83252585e-09,1,5.49907233e-13]]
20,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_113722.png,tomato,7.64373916e-13,1.67864648e-12,1
21,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/broccoli/20180806_133217.png,broccoli,1,5.43770215e-13,1.57843658e-14]]
22,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_dossari_20180806_x10/validation/tomato/20180806_093158.png,tomato,3.64684948e-18,2.01406901e-15,1
