,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
0,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/eggplant/70.png,eggplant,2.38192642e-05,0.00266610808,0.997189581,2.10811049e-06,0.000101995254,1.63442073e-05
1,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/tomato/264.png,tomato,5.6965209e-17,2.83430523e-09,1.64115222e-13,1.04245093e-11,2.66128306e-17,1]]
2,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/pumpkin/66.png,pumpkin,1.36332821e-08,5.60544731e-06,8.6052296e-07,2.67825442e-07,0.999990821,2.32781235e-06
3,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/carrot/17.png,carrot,0.865404665,0.0013220323,0.000153827088,0.119927153,0.00438028574,0.00881208759]]
4,2,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/tomato/433.png,tomato,0.11048606,0.236314952,0.565822303,0.0243272185,0.0150410598,0.0480083935
5,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/eggplant/79.png,eggplant,0.0236957632,0.00989709608,0.955293834,0.00169236388,0.00875556841,0.000665360363]]
6,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/cucumber/11.png,cucumber,0.000771713792,0.999098301,2.97716019e-06,2.74768752e-07,2.55063078e-05,0.000101341771
7,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/poteto/3.png,poteto,8.82873596e-09,1.91269134e-08,6.50170806e-10,0.999999762,6.17293372e-09,2.33527402e-07]]
8,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/cucumber/25.png,cucumber,0.000758612703,0.996564925,0.000114095994,4.62909848e-05,0.000926901062,0.00158911967
9,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/cucumber/37.png,cucumber,6.58498e-05,0.999496222,1.63634795e-05,3.533571e-05,5.48251137e-06,0.000380694604]]
10,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/eggplant/18.png,eggplant,2.04656985e-08,2.76022782e-09,0.999999881,1.35491813e-08,1.02429254e-07,2.07589324e-09
11,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/poteto/24.png,poteto,1.86056752e-06,3.22497508e-05,1.77809045e-06,0.999321938,0.000615398632,2.68469721e-05]]
12,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/cucumber/12.png,cucumber,1.73147164e-05,0.999947786,1.68470297e-06,6.82765915e-07,3.13390919e-05,1.14669365e-06
13,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/poteto/2.png,poteto,0.000154477486,3.19767896e-05,1.84443379e-05,0.997654676,0.000103052182,0.00203737174]]
14,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/carrot/6.png,carrot,0.994409144,1.12980815e-05,1.0124545e-06,0.0020643638,0.00173218013,0.00178196526
15,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_20180905_6class_cr_cu_ep_pt_pk_tm/validation/poteto/34.png,poteto,1.2862715e-07,1.40954384e-07,9.79596493e-09,0.999996543,1.02147055e-06,2.1730109e-06]]
