,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/brocolli/381.png,brocolli,1,7.83872824e-33,2.43968917e-26
1,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/egg/dozen_7.png,egg,4.98847075e-11,0.999718845,0.000281154556]]
2,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/egg/dozen_432.png,egg,2.41799429e-14,0.999999523,4.61293638e-07
3,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/egg/eggs_334.png,egg,3.37586777e-14,1,3.19193272e-09]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/tomato/219.png,tomato,8.15899313e-08,4.84033542e-08,0.999999881
5,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/tomato/207.png,tomato,4.10770905e-21,4.15926195e-32,1]]
6,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/tomato/276.png,tomato,1.12813487e-18,7.17240381e-24,1
7,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/brocolli/20.png,brocolli,1,3.00859514e-33,1.12358046e-29]]
8,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/brocolli/248.png,brocolli,1,2.10075247e-35,1.86288e-30
9,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/tomato/373.png,tomato,1.1818857e-21,4.53740537e-31,1]]
10,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180803_3class_data_x_10/validation/tomato/697.png,tomato,6.89061724e-11,4.03883116e-20,1
