,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/412.png,cucumber,1,1.65274498e-15,4.7855943e-20
1,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/455.png,eggplant,4.60028593e-09,1,1.31382416e-14]]
2,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/37.png,eggplant,7.31315345e-13,1,1.45182859e-11
3,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/65.png,eggplant,1.80145037e-12,1,5.6692994e-11]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/219.png,tomato,3.11758441e-07,5.37018377e-06,0.999994278
5,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/207.png,tomato,5.90938485e-13,3.20231446e-11,1]]
6,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/276.png,tomato,1.03503668e-08,7.42660881e-12,1
7,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/30.png,cucumber,1,4.99766168e-16,2.29475977e-21]]
8,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/373.png,tomato,4.29660127e-12,3.48870266e-09,1
9,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/610.png,tomato,1.70333323e-07,2.0426306e-08,0.999999762]]
10,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/322.png,cucumber,1,1.12706093e-08,4.86059534e-16
11,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/697.png,tomato,4.56981386e-09,8.38982669e-06,0.999991655]]
12,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/18.png,eggplant,7.53133588e-17,1,8.23250794e-20
13,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/337.png,eggplant,1.31033985e-15,1,1.26280402e-13]]
14,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/352.png,eggplant,1.30541397e-10,1,1.7159365e-15
15,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/736.png,tomato,3.09178343e-11,3.62693164e-08,1]]
16,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/1.png,cucumber,1,2.07852568e-15,4.46038768e-22
17,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/10.png,cucumber,1,2.53853904e-12,7.34922459e-22]]
18,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/765.png,eggplant,3.13600714e-18,1,6.26846526e-18
19,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/18.png,tomato,1.93142213e-07,6.42795328e-08,0.999999762]]
20,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/58.png,cucumber,1,1.07062695e-16,1.70159162e-20
21,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/623.png,cucumber,1,3.7964735e-14,5.75181087e-24]]
22,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/26.png,tomato,1.37429566e-07,3.02640615e-07,0.999999523
23,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/38.png,tomato,1.10084275e-09,1.91838296e-07,0.999999762]]
24,0,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/12.png,eggplant,0.999969482,3.04901878e-05,1.13407823e-15
25,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/eggplant/558.png,eggplant,3.59676701e-18,1,5.88723506e-20]]
26,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/375.png,cucumber,1,2.75692216e-14,1.67303873e-21
27,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/237.png,tomato,2.19891803e-08,6.41251566e-11,1]]
28,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/cucumber/375.png,cucumber,1,2.75692216e-14,1.67303873e-21
29,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_256_manually_select_20180814_ep_tm_cu/validation/tomato/237.png,tomato,2.19891803e-08,6.41251566e-11,1]]
