,prediction,label,filename,categorynames,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
0,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/lettuce/236.png,lettuce,0.000221894268,0.000343068939,3.23907125e-06,0.0122047439,0.987226307,6.70057204e-07
1,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/406.png,eggplant,5.00904e-11,8.52312332e-10,1,3.27466613e-12,1.90498867e-11,2.56654507e-14]]
2,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/tomato/18.png,tomato,1.76621121e-10,4.40662902e-08,1.98904e-23,2.98454261e-19,1.08444269e-07,0.999999881
3,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/369.png,eggplant,1.61805666e-19,8.27720861e-16,1,9.85336512e-19,5.13331434e-19,2.18393802e-19]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/421.png,eggplant,8.7348542e-13,2.10308233e-08,1,8.17924894e-12,2.71643439e-13,3.87009392e-12
5,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/lettuce/612.png,lettuce,0.0134067433,2.674682e-11,8.82833218e-15,4.69692285e-09,0.986593306,7.80658e-11]]
6,1,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/green_pepper/20.png,green_pepper,0.000480607094,0.92749244,2.38544544e-07,0.0684025735,0.00362407858,4.23396251e-09
7,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/251.png,eggplant,0.0208123624,0.0529061183,0.921422243,0.00132640568,0.00351725915,1.55433354e-05]]
8,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/tomato/165.png,tomato,1.04705647e-14,5.84127711e-12,1.25670944e-22,1.41397006e-22,8.042184e-13,1
9,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/106.png,eggplant,1.38976782e-06,0.000112755355,0.999885559,6.02613568e-08,4.24073328e-08,5.83495243e-08]]
10,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/eggplant/549.png,eggplant,9.92090299e-10,7.17549895e-08,0.999999881,1.05287667e-09,1.74995129e-10,3.56979485e-12
11,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/broccoli/333.png,broccoli,0.992651284,0.000854496786,5.80577762e-06,0.000642008497,0.00584425265,2.25171016e-06]]
12,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/green_pepper/581.png,green_pepper,0.000347666879,0.000771391497,0.000135861919,0.998240113,0.00050484814,2.042602e-08
13,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/lettuce/193.png,lettuce,0.00687073125,1.22516255e-07,7.50974449e-10,2.31683807e-05,0.99310571,2.2680365e-07]]
14,4,4,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/lettuce/35.png,lettuce,0.220413819,5.31331762e-06,4.87938578e-09,2.01250332e-05,0.779560268,4.77184471e-07
15,5,5,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/tomato/3.png,tomato,1.08469858e-31,4.704928e-23,0,0,7.42579798e-28,1]]
16,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/cucumber/324.png,cucumber,0.00819498207,0.959638298,0.00435785903,0.0180484876,0.00952227414,0.000238155291
17,3,3,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/green_pepper/764.png,green_pepper,0.0742226914,0.270722032,0.0033672764,0.646218121,0.00533090299,0.000138949297]]
18,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_256_manually_select/cucumber/21.png,cucumber,0.0616937354,0.878425598,0.0183844,0.00477014529,0.0188011937,0.0179248936
