,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/flying-pan/20.png,flying-pan,0.834524333,3.18879e-06,0.165472448
1,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/kettle/3.png,kettle,1.35780928e-10,1,2.55865162e-10]]
2,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/kettle/18.png,kettle,8.13413447e-15,1,1.4441396e-11
3,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/kettle/6.png,kettle,3.55526562e-13,1,4.05151884e-11]]
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/11.png,pot,1.29267698e-06,4.37666188e-08,0.999998689
5,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/flying-pan/14.png,flying-pan,0.996300578,0.000152994457,0.00354648]]
6,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/13.png,pot,1.41416842e-06,5.08613374e-09,0.999998569
7,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/16.png,pot,0.000154795649,2.16120867e-07,0.999844909]]
8,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/8.png,pot,2.10408487e-07,4.06763356e-05,0.999959111
9,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/flying-pan/16.png,flying-pan,0.999999881,9.76714931e-10,1.53901851e-07]]
10,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/19.png,pot,2.19981033e-09,5.78420213e-06,0.999994159
11,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/cookware_google_search_224_20181011/validation/pot/5.png,pot,3.56011327e-07,1.17871252e-07,0.999999523]]
