,prediction,label,filename,categorynames,prob_0,prob_1,prob_2
0,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/broccoli/416.png,broccoli,0.668493807,0.0279078819,0.303598285
1,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/eggplant/488.png,eggplant,7.84249781e-14,0.999999881,8.22847568e-08
2,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/eggplant/263.png,eggplant,1.07900244e-10,0.999999881,1.31540588e-07
3,1,1,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/eggplant/66.png,eggplant,5.94390314e-13,0.999999166,8.50993956e-07
4,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/tomato/286.png,tomato,8.92904e-21,6.67095434e-10,1
5,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/tomato/21.png,tomato,7.65376938e-15,2.60300132e-11,1
6,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/tomato/367.png,tomato,2.40895751e-19,1.59103937e-12,1
7,2,2,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/tomato/394.png,tomato,5.10705834e-21,2.1731523e-14,1
8,2,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/broccoli/237.png,broccoli,0.001260499,3.75848504e-05,0.99870193
9,0,0,/media/panasonic/644E9C944E9C611A/tmp/data/img/food_google_search_224_keep_aspect_ratio_3class_20180809/validation/broccoli/229.png,broccoli,1,4.09933962e-11,1.16972806e-10
